Au	4.261117	7.380470	0.000000
Au	5.765040	4.775598	0.000000
Au	7.268964	2.170727	0.000000
Au	8.772887	-0.434145	0.000000
Au	1.253270	7.380470	0.000000
Au	2.757193	4.775598	0.000000
Au	4.261117	2.170727	0.000000
Au	5.765040	-0.434145	0.000000
Au	-1.754577	7.380470	0.000000
Au	-0.250654	4.775598	0.000000
Au	1.253270	2.170727	0.000000
Au	2.757193	-0.434145	0.000000
Au	-4.762424	7.380470	0.000000
Au	-3.258500	4.775598	0.000000
Au	-1.754577	2.170727	0.000000
Au	-0.250654	-0.434145	0.000000
Au	5.765040	8.248760	2.455896
Au	7.268964	5.643889	2.455896
Au	8.772887	3.039017	2.455896
Au	10.276810	0.434145	2.455896
Au	2.757193	8.248760	2.455896
Au	4.261117	5.643889	2.455896
Au	5.765040	3.039017	2.455896
Au	7.268964	0.434145	2.455896
Au	-0.250654	8.248760	2.455896
Au	1.253270	5.643889	2.455896
Au	2.757193	3.039017	2.455896
Au	4.261117	0.434145	2.455896
Au	-3.258500	8.248760	2.455896
Au	-1.754577	5.643889	2.455896
Au	-0.250654	3.039017	2.455896
Au	1.253270	0.434145	2.455896
Au	4.261117	9.117051	4.911793
Au	5.765040	6.512180	4.911793
Au	7.268964	3.907307	4.911793
Au	8.772887	1.302436	4.911793
Au	1.253270	9.117051	4.911793
Au	2.757193	6.512180	4.911793
Au	4.261117	3.907307	4.911793
Au	5.765040	1.302436	4.911793
Au	-1.754577	9.117051	4.911793
Au	-0.250654	6.512180	4.911793
Au	1.253270	3.907307	4.911793
Au	2.757193	1.302436	4.911793
Au	-4.762424	9.117051	4.911793
Au	-3.258500	6.512180	4.911793
Au	-1.754577	3.907307	4.911793
Au	-0.250654	1.302436	4.911793
Au	4.261117	7.380470	7.367690
Au	5.765040	4.775598	7.367690
Au	7.268964	2.170727	7.367690
Au	8.772887	-0.434145	7.367690
Au	1.253270	7.380470	7.367690
Au	2.757193	4.775598	7.367690
Au	4.261117	2.170727	7.367690
Au	5.765040	-0.434145	7.367690
Au	-1.754577	7.380470	7.367690
Au	-0.250654	4.775598	7.367690
Au	1.253270	2.170727	7.367690
Au	2.757193	-0.434145	7.367690
Au	-4.762424	7.380470	7.367690
Au	-3.258500	4.775598	7.367690
Au	-1.754577	2.170727	7.367690
Au	-0.250654	-0.434145	7.367690

